"o.sites","counted","marked","yearname","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT"
100,"yes","yes","yr2014",2014,15.6,3.1,-6.7,35
1,"yes","no","yr2015",2015,13.9,2,-6.7,31.1
2,"no","no","yr2015",2015,12.2,0.9,-6.7,31.1
3,"no","no","yr2015",2015,11.8,20.6,-6.7,31.1
4,"yes","no","yr2015",2015,16.8,0.6,-6.7,31.1
5,"no","no","yr2015",2015,12,1.1,-6.7,31.1
6,"yes","no","yr2015",2015,29,2.4,-6.7,31.1
7,"no","no","yr2015",2015,8.9,0,-6.7,31.1
8,"yes","yes","yr2015",2015,8.3,2.8,-6.7,31.1
9,"no","no","yr2015",2015,15.4,0.3,-6.7,31.1
10,"yes","no","yr2015",2015,10.1,2.2,-6.7,31.1
11,"yes","no","yr2015",2015,3.7,5,-6.7,31.1
12,"yes","no","yr2015",2015,13.3,13.3,-6.7,31.1
13,"yes","yes","yr2015",2015,10.7,0,-6.7,31.1
14,"yes","yes","yr2015",2015,11.2,8.3,-6.7,31.1
15,"no","no","yr2015",2015,16.3,5.7,-6.7,31.1
16,"no","no","yr2015",2015,5.4,0.3,-6.7,31.1
17,"yes","no","yr2015",2015,14.8,4.7,-6.7,31.1
18,"no","no","yr2015",2015,9.3,4.4,-6.7,31.1
19,"yes","no","yr2015",2015,11.1,1.1,-6.7,31.1
20,"yes","no","yr2015",2015,6.4,0.9,-6.7,31.1
21,"yes","no","yr2015",2015,8.7,4.5,-6.7,31.1
22,"yes","no","yr2015",2015,4.5,0,-6.7,31.1
23,"no","no","yr2015",2015,10.6,4,-6.7,31.1
24,"no","no","yr2015",2015,16.7,0.8,-6.7,31.1
25,"no","no","yr2015",2015,14,7.9,-6.7,31.1
26,"yes","no","yr2015",2015,12.9,3.5,-6.7,31.1
27,"no","no","yr2015",2015,17.9,0.9,-6.7,31.1
28,"no","no","yr2015",2015,10.2,3.4,-6.7,31.1
29,"no","no","yr2015",2015,9.2,0.5,-6.7,31.1
30,"yes","no","yr2015",2015,6.5,1.4,-6.7,31.1
31,"no","no","yr2015",2015,13.6,4.4,-6.7,31.1
32,"no","no","yr2015",2015,6.7,0.6,-6.7,31.1
33,"no","no","yr2015",2015,11.8,11.7,-6.7,31.1
34,"no","no","yr2015",2015,13.7,3.3,-6.7,31.1
35,"yes","no","yr2015",2015,26.9,0.2,-6.7,31.1
36,"no","no","yr2015",2015,1.2,1.9,-6.7,31.1
37,"yes","no","yr2015",2015,12.9,2.4,-6.7,31.1
38,"yes","no","yr2015",2015,10,0.1,-6.7,31.1
39,"yes","yes","yr2015",2015,10.8,0,-6.7,31.1
40,"no","no","yr2015",2015,6.9,0,-6.7,31.1
41,"no","no","yr2015",2015,16.1,7.3,-6.7,31.1
42,"no","no","yr2015",2015,9.1,3.4,-6.7,31.1
43,"no","no","yr2015",2015,5,0.9,-6.7,31.1
44,"yes","no","yr2015",2015,12.3,8.5,-6.7,31.1
45,"yes","no","yr2015",2015,6.7,2.9,-6.7,31.1
46,"yes","yes","yr2015",2015,6.6,0.8,-6.7,31.1
47,"no","no","yr2015",2015,11.1,0.8,-6.7,31.1
48,"no","no","yr2015",2015,10.6,2.2,-6.7,31.1
49,"yes","no","yr2015",2015,11,0.6,-6.7,31.1
50,"yes","no","yr2015",2015,18.6,3.6,-6.7,31.1
51,"no","no","yr2015",2015,21.7,2.1,-6.7,31.1
52,"yes","no","yr2015",2015,8.7,0.9,-6.7,31.1
53,"no","no","yr2015",2015,12.3,1.4,-6.7,31.1
54,"no","no","yr2015",2015,11.7,6.3,-6.7,31.1
55,"yes","no","yr2015",2015,13.8,0,-6.7,31.1
56,"yes","no","yr2015",2015,16.6,1.9,-6.7,31.1
57,"no","no","yr2015",2015,7.1,1.5,-6.7,31.1
58,"yes","yes","yr2015",2015,16.6,1.2,-6.7,31.1
59,"no","no","yr2015",2015,18.9,0.6,-6.7,31.1
60,"yes","no","yr2015",2015,6.3,3.6,-6.7,31.1
61,"no","no","yr2015",2015,8.7,0,-6.7,31.1
62,"yes","yes","yr2015",2015,19.8,0.4,-6.7,31.1
63,"no","no","yr2015",2015,24.4,1.4,-6.7,31.1
64,"no","no","yr2015",2015,8.5,0.1,-6.7,31.1
65,"yes","no","yr2015",2015,15.2,0.2,-6.7,31.1
66,"no","no","yr2015",2015,10.5,5.5,-6.7,31.1
67,"no","no","yr2015",2015,5.6,0,-6.7,31.1
68,"yes","yes","yr2015",2015,16.2,3.5,-6.7,31.1
69,"yes","yes","yr2015",2015,12.7,3.6,-6.7,31.1
70,"no","no","yr2015",2015,6,6.6,-6.7,31.1
71,"yes","no","yr2015",2015,9.1,8.3,-6.7,31.1
72,"no","no","yr2015",2015,9.3,2.2,-6.7,31.1
73,"no","no","yr2015",2015,7.2,8.2,-6.7,31.1
74,"no","no","yr2015",2015,10.9,4.9,-6.7,31.1
75,"yes","yes","yr2015",2015,14.4,9.6,-6.7,31.1
76,"yes","yes","yr2015",2015,15.2,2.5,-6.7,31.1
77,"no","no","yr2015",2015,12.8,2.5,-6.7,31.1
78,"no","no","yr2015",2015,33.1,0.1,-6.7,31.1
79,"yes","no","yr2015",2015,15.2,12.3,-6.7,31.1
80,"no","no","yr2015",2015,17.5,6,-6.7,31.1
81,"no","no","yr2015",2015,8.3,3.7,-6.7,31.1
82,"no","no","yr2015",2015,16.3,5.6,-6.7,31.1
83,"yes","yes","yr2015",2015,16.1,0.6,-6.7,31.1
84,"yes","yes","yr2015",2015,5.6,10,-6.7,31.1
85,"no","no","yr2015",2015,12.7,1.5,-6.7,31.1
86,"yes","yes","yr2015",2015,4.3,2.6,-6.7,31.1
87,"no","no","yr2015",2015,12.2,1.7,-6.7,31.1
88,"yes","no","yr2015",2015,25.8,3.7,-6.7,31.1
89,"no","no","yr2015",2015,15.8,1.8,-6.7,31.1
90,"no","no","yr2015",2015,2.9,0,-6.7,31.1
91,"yes","yes","yr2015",2015,15.1,1.7,-6.7,31.1
92,"yes","no","yr2015",2015,18.5,1.5,-6.7,31.1
93,"yes","yes","yr2015",2015,10.6,5.2,-6.7,31.1
94,"yes","yes","yr2015",2015,6.1,2.7,-6.7,31.1
95,"yes","yes","yr2015",2015,9.6,3.3,-6.7,31.1
96,"no","no","yr2015",2015,12.7,10.6,-6.7,31.1
97,"yes","no","yr2015",2015,14.7,12,-6.7,31.1
98,"yes","yes","yr2015",2015,10.7,5,-6.7,31.1
99,"no","no","yr2015",2015,22.4,0.3,-6.7,31.1
100,"yes","yes","yr2015",2015,12.6,2.3,-6.7,31.1
1,"yes","no","yr2016",2016,15.3,1.1,-5,32.2
2,"no","no","yr2016",2016,11.4,0.9,-5,32.2
3,"no","no","yr2016",2016,11.6,21.5,-5,32.2
4,"yes","no","yr2016",2016,17.2,0.2,-5,32.2
5,"no","no","yr2016",2016,11,0.8,-5,32.2
6,"yes","no","yr2016",2016,27.8,2.1,-5,32.2
7,"no","no","yr2016",2016,11,0,-5,32.2
8,"yes","yes","yr2016",2016,8.4,2.8,-5,32.2
9,"no","no","yr2016",2016,22.9,0,-5,32.2
10,"yes","no","yr2016",2016,13.2,2.6,-5,32.2
11,"yes","no","yr2016",2016,5.6,4.9,-5,32.2
12,"yes","no","yr2016",2016,13.7,13.4,-5,32.2
13,"yes","yes","yr2016",2016,10.8,1.1,-5,32.2
14,"yes","yes","yr2016",2016,8.2,7.7,-5,32.2
15,"no","no","yr2016",2016,16.7,4.8,-5,32.2
16,"no","no","yr2016",2016,6.2,0.3,-5,32.2
17,"yes","no","yr2016",2016,17.2,3.9,-5,32.2
18,"no","no","yr2016",2016,12.7,4.5,-5,32.2
19,"yes","no","yr2016",2016,12.6,0.9,-5,32.2
20,"yes","no","yr2016",2016,3,0.5,-5,32.2
21,"yes","no","yr2016",2016,11.8,4.5,-5,32.2
22,"yes","no","yr2016",2016,0.2,0,-5,32.2
23,"no","no","yr2016",2016,15.2,4.2,-5,32.2
24,"no","no","yr2016",2016,18.3,0.6,-5,32.2
25,"no","no","yr2016",2016,17.7,8.4,-5,32.2
26,"yes","no","yr2016",2016,17.3,3.1,-5,32.2
27,"no","no","yr2016",2016,21.7,0.2,-5,32.2
28,"no","no","yr2016",2016,11.3,3.5,-5,32.2
29,"no","no","yr2016",2016,7,0.1,-5,32.2
30,"yes","no","yr2016",2016,4,1.1,-5,32.2
31,"no","no","yr2016",2016,14.3,6.8,-5,32.2
32,"no","no","yr2016",2016,8.3,0.8,-5,32.2
33,"no","no","yr2016",2016,13.2,12.3,-5,32.2
34,"no","no","yr2016",2016,22,3.9,-5,32.2
35,"yes","no","yr2016",2016,17,0.1,-5,32.2
36,"no","no","yr2016",2016,0.3,1.4,-5,32.2
37,"yes","no","yr2016",2016,4.5,1.9,-5,32.2
38,"yes","no","yr2016",2016,4.3,0.1,-5,32.2
39,"yes","yes","yr2016",2016,7.8,0,-5,32.2
40,"no","no","yr2016",2016,3.7,0,-5,32.2
41,"no","no","yr2016",2016,17.9,7.1,-5,32.2
42,"no","no","yr2016",2016,9.5,3.1,-5,32.2
43,"no","no","yr2016",2016,6.1,0.7,-5,32.2
44,"yes","no","yr2016",2016,13.6,9.3,-5,32.2
45,"yes","no","yr2016",2016,8.9,3.1,-5,32.2
46,"yes","yes","yr2016",2016,8.2,0.8,-5,32.2
47,"no","no","yr2016",2016,15,1.3,-5,32.2
48,"no","no","yr2016",2016,4.2,1.7,-5,32.2
49,"yes","no","yr2016",2016,10.7,3.8,-5,32.2
50,"yes","no","yr2016",2016,18.9,2.1,-5,32.2
51,"no","no","yr2016",2016,21.4,3,-5,32.2
52,"yes","no","yr2016",2016,2.3,0.4,-5,32.2
53,"no","no","yr2016",2016,16.2,2.1,-5,32.2
54,"no","no","yr2016",2016,13.8,5.8,-5,32.2
55,"yes","no","yr2016",2016,13.7,0,-5,32.2
56,"yes","no","yr2016",2016,16.6,0.5,-5,32.2
57,"no","no","yr2016",2016,7.4,1.5,-5,32.2
58,"yes","yes","yr2016",2016,19.5,0.7,-5,32.2
59,"no","no","yr2016",2016,20.5,0.9,-5,32.2
60,"yes","no","yr2016",2016,7.6,3.2,-5,32.2
61,"no","no","yr2016",2016,10.4,0.1,-5,32.2
62,"yes","yes","yr2016",2016,20,0.6,-5,32.2
63,"no","no","yr2016",2016,22.6,1.3,-5,32.2
64,"no","no","yr2016",2016,6.3,0,-5,32.2
65,"yes","no","yr2016",2016,22.5,0,-5,32.2
66,"no","no","yr2016",2016,12.6,6.4,-5,32.2
67,"no","no","yr2016",2016,2.5,0,-5,32.2
68,"yes","yes","yr2016",2016,17.2,3,-5,32.2
69,"yes","yes","yr2016",2016,16,3,-5,32.2
70,"no","no","yr2016",2016,9.7,6,-5,32.2
71,"yes","no","yr2016",2016,8.8,8,-5,32.2
72,"no","no","yr2016",2016,14.5,2.6,-5,32.2
73,"no","no","yr2016",2016,12.9,8.6,-5,32.2
74,"no","no","yr2016",2016,10.8,4.7,-5,32.2
75,"yes","yes","yr2016",2016,15.4,9,-5,32.2
76,"yes","yes","yr2016",2016,15.7,2.4,-5,32.2
77,"no","no","yr2016",2016,8.1,2.1,-5,32.2
78,"no","no","yr2016",2016,29.7,0.1,-5,32.2
79,"yes","no","yr2016",2016,14.3,12.6,-5,32.2
80,"no","no","yr2016",2016,10.5,4.9,-5,32.2
81,"no","no","yr2016",2016,12.5,3.8,-5,32.2
82,"no","no","yr2016",2016,16.8,4.6,-5,32.2
83,"yes","yes","yr2016",2016,25.4,0.5,-5,32.2
84,"yes","yes","yr2016",2016,5.6,9.9,-5,32.2
85,"no","no","yr2016",2016,11,0.6,-5,32.2
86,"yes","yes","yr2016",2016,5.9,2.5,-5,32.2
87,"no","no","yr2016",2016,14.7,1.6,-5,32.2
88,"yes","no","yr2016",2016,17.3,5.4,-5,32.2
89,"no","no","yr2016",2016,17.8,1.1,-5,32.2
90,"no","no","yr2016",2016,3.9,0,-5,32.2
91,"yes","yes","yr2016",2016,15.6,3.7,-5,32.2
92,"yes","no","yr2016",2016,18,3.8,-5,32.2
93,"yes","yes","yr2016",2016,12.7,4.7,-5,32.2
94,"yes","yes","yr2016",2016,9.7,3.4,-5,32.2
95,"yes","yes","yr2016",2016,20,1.8,-5,32.2
96,"no","no","yr2016",2016,14.1,10.9,-5,32.2
97,"yes","no","yr2016",2016,14.7,12.2,-5,32.2
98,"yes","yes","yr2016",2016,12.8,5.1,-5,32.2
99,"no","no","yr2016",2016,17.8,0.1,-5,32.2
100,"yes","yes","yr2016",2016,7.8,1.7,-5,32.2
1,"yes","no","yr2017",2017,12.8,2.9,-7.2,34.4
2,"no","no","yr2017",2017,14.5,3,-7.2,34.4
3,"no","no","yr2017",2017,11.5,21,-7.2,34.4
4,"yes","no","yr2017",2017,18,0.3,-7.2,34.4
5,"no","no","yr2017",2017,16,0.8,-7.2,34.4
6,"yes","no","yr2017",2017,27.7,2.5,-7.2,34.4
7,"no","no","yr2017",2017,19.3,0,-7.2,34.4
8,"yes","yes","yr2017",2017,10.8,1.9,-7.2,34.4
9,"no","no","yr2017",2017,23.2,0,-7.2,34.4
10,"yes","no","yr2017",2017,11.7,1.9,-7.2,34.4
11,"yes","no","yr2017",2017,8.7,4.5,-7.2,34.4
12,"yes","no","yr2017",2017,13.6,13.8,-7.2,34.4
13,"yes","yes","yr2017",2017,19,2.2,-7.2,34.4
14,"yes","yes","yr2017",2017,11.8,8.6,-7.2,34.4
15,"no","no","yr2017",2017,19.7,4.5,-7.2,34.4
16,"no","no","yr2017",2017,4.4,0.7,-7.2,34.4
17,"yes","no","yr2017",2017,17.6,3.5,-7.2,34.4
18,"no","no","yr2017",2017,12.5,4.4,-7.2,34.4
19,"yes","no","yr2017",2017,13.2,1.1,-7.2,34.4
20,"yes","no","yr2017",2017,8.8,0.3,-7.2,34.4
21,"yes","no","yr2017",2017,10.6,4.2,-7.2,34.4
22,"yes","no","yr2017",2017,18.5,0,-7.2,34.4
23,"no","no","yr2017",2017,13.8,3.6,-7.2,34.4
24,"no","no","yr2017",2017,19.6,0.8,-7.2,34.4
25,"no","no","yr2017",2017,17.6,8.3,-7.2,34.4
26,"yes","no","yr2017",2017,16.1,1.6,-7.2,34.4
27,"no","no","yr2017",2017,19.8,0.3,-7.2,34.4
28,"no","no","yr2017",2017,10.9,2.8,-7.2,34.4
29,"no","no","yr2017",2017,14.1,0.1,-7.2,34.4
30,"yes","no","yr2017",2017,7.6,1.4,-7.2,34.4
31,"no","no","yr2017",2017,15.2,6.5,-7.2,34.4
32,"no","no","yr2017",2017,9.5,0.9,-7.2,34.4
33,"no","no","yr2017",2017,12.7,13.1,-7.2,34.4
34,"no","no","yr2017",2017,22.7,6.2,-7.2,34.4
35,"yes","no","yr2017",2017,21.2,0,-7.2,34.4
36,"no","no","yr2017",2017,7.7,1.6,-7.2,34.4
37,"yes","no","yr2017",2017,12.8,1.5,-7.2,34.4
38,"yes","no","yr2017",2017,3.3,0,-7.2,34.4
39,"yes","yes","yr2017",2017,11.2,0,-7.2,34.4
40,"no","no","yr2017",2017,7.8,2.7,-7.2,34.4
41,"no","no","yr2017",2017,17.9,7.7,-7.2,34.4
42,"no","no","yr2017",2017,1.3,0,-7.2,34.4
43,"no","no","yr2017",2017,9.1,0.5,-7.2,34.4
44,"yes","no","yr2017",2017,12.6,9.1,-7.2,34.4
45,"yes","no","yr2017",2017,7.6,2.8,-7.2,34.4
46,"yes","yes","yr2017",2017,7.6,0.7,-7.2,34.4
47,"no","no","yr2017",2017,3.4,0,-7.2,34.4
48,"no","no","yr2017",2017,6.7,1.8,-7.2,34.4
49,"yes","no","yr2017",2017,16.4,11.5,-7.2,34.4
50,"yes","no","yr2017",2017,23.8,0.2,-7.2,34.4
51,"no","no","yr2017",2017,15.9,4.3,-7.2,34.4
52,"yes","no","yr2017",2017,7.2,0.6,-7.2,34.4
53,"no","no","yr2017",2017,23.4,4.8,-7.2,34.4
54,"no","no","yr2017",2017,14.5,5.5,-7.2,34.4
55,"yes","no","yr2017",2017,19.2,0,-7.2,34.4
56,"yes","no","yr2017",2017,19.2,0.5,-7.2,34.4
57,"no","no","yr2017",2017,7.5,1.6,-7.2,34.4
58,"yes","yes","yr2017",2017,20.6,3,-7.2,34.4
59,"no","no","yr2017",2017,18.7,1.3,-7.2,34.4
60,"yes","no","yr2017",2017,10.2,3.1,-7.2,34.4
61,"no","no","yr2017",2017,11.1,0.4,-7.2,34.4
62,"yes","yes","yr2017",2017,17.2,1.9,-7.2,34.4
63,"no","no","yr2017",2017,22,1.3,-7.2,34.4
64,"no","no","yr2017",2017,3.1,0,-7.2,34.4
65,"yes","no","yr2017",2017,23.8,0.1,-7.2,34.4
66,"no","no","yr2017",2017,0.9,0,-7.2,34.4
67,"no","no","yr2017",2017,19.2,0,-7.2,34.4
68,"yes","yes","yr2017",2017,17.5,3,-7.2,34.4
69,"yes","yes","yr2017",2017,5.4,0,-7.2,34.4
70,"no","no","yr2017",2017,10.9,4.9,-7.2,34.4
71,"yes","no","yr2017",2017,12.3,5.4,-7.2,34.4
72,"no","no","yr2017",2017,19.4,4.1,-7.2,34.4
73,"no","no","yr2017",2017,2,0,-7.2,34.4
74,"no","no","yr2017",2017,2.3,0,-7.2,34.4
75,"yes","yes","yr2017",2017,14,8.1,-7.2,34.4
76,"yes","yes","yr2017",2017,14.7,2.6,-7.2,34.4
77,"no","no","yr2017",2017,14.1,0.7,-7.2,34.4
78,"no","no","yr2017",2017,28.1,1,-7.2,34.4
79,"yes","no","yr2017",2017,14.3,14.4,-7.2,34.4
80,"no","no","yr2017",2017,17.6,4.3,-7.2,34.4
81,"no","no","yr2017",2017,11.1,2.9,-7.2,34.4
82,"no","no","yr2017",2017,18.4,5.7,-7.2,34.4
83,"yes","yes","yr2017",2017,25.3,1.6,-7.2,34.4
84,"yes","yes","yr2017",2017,5.8,8.9,-7.2,34.4
85,"no","no","yr2017",2017,16,1.3,-7.2,34.4
86,"yes","yes","yr2017",2017,7.1,1.3,-7.2,34.4
87,"no","no","yr2017",2017,14.1,1,-7.2,34.4
88,"yes","no","yr2017",2017,20,6.5,-7.2,34.4
89,"no","no","yr2017",2017,21.6,1.9,-7.2,34.4
90,"no","no","yr2017",2017,7,0,-7.2,34.4
91,"yes","yes","yr2017",2017,17.5,2.4,-7.2,34.4
92,"yes","no","yr2017",2017,24.1,5.1,-7.2,34.4
93,"yes","yes","yr2017",2017,11.8,5.1,-7.2,34.4
94,"yes","yes","yr2017",2017,9.9,2.7,-7.2,34.4
95,"yes","yes","yr2017",2017,19.3,5.8,-7.2,34.4
96,"no","no","yr2017",2017,13.8,10.9,-7.2,34.4
97,"yes","no","yr2017",2017,14.1,12.2,-7.2,34.4
98,"yes","yes","yr2017",2017,1.2,0,-7.2,34.4
99,"no","no","yr2017",2017,24.3,0.3,-7.2,34.4
100,"yes","yes","yr2017",2017,18.1,1.8,-7.2,34.4
1,"yes","no","yr2018",2018,8.5,2.9,-11.7,31.7
2,"no","no","yr2018",2018,11.3,1.8,-11.7,31.7
3,"no","no","yr2018",2018,11.5,21.5,-11.7,31.7
4,"yes","no","yr2018",2018,20.7,0.8,-11.7,31.7
5,"no","no","yr2018",2018,14.5,0.2,-11.7,31.7
6,"yes","no","yr2018",2018,27.3,3.8,-11.7,31.7
7,"no","no","yr2018",2018,16.3,0.8,-11.7,31.7
8,"yes","yes","yr2018",2018,9.3,2.7,-11.7,31.7
9,"no","no","yr2018",2018,18,0.4,-11.7,31.7
10,"yes","no","yr2018",2018,13.4,5,-11.7,31.7
11,"yes","no","yr2018",2018,8,6.6,-11.7,31.7
12,"yes","no","yr2018",2018,13.2,13.9,-11.7,31.7
13,"yes","yes","yr2018",2018,12.3,7.9,-11.7,31.7
14,"yes","yes","yr2018",2018,10.4,12.8,-11.7,31.7
15,"no","no","yr2018",2018,18.4,4,-11.7,31.7
16,"no","no","yr2018",2018,9.8,0.6,-11.7,31.7
17,"yes","no","yr2018",2018,12.7,5.2,-11.7,31.7
18,"no","no","yr2018",2018,11.3,4.1,-11.7,31.7
19,"yes","no","yr2018",2018,16.8,2.2,-11.7,31.7
20,"yes","no","yr2018",2018,6.3,0.3,-11.7,31.7
21,"yes","no","yr2018",2018,11.3,5,-11.7,31.7
22,"yes","no","yr2018",2018,9.8,0.1,-11.7,31.7
23,"no","no","yr2018",2018,13.3,6.3,-11.7,31.7
24,"no","no","yr2018",2018,18.3,0.8,-11.7,31.7
25,"no","no","yr2018",2018,17.8,8.5,-11.7,31.7
26,"yes","no","yr2018",2018,15.1,2.4,-11.7,31.7
27,"no","no","yr2018",2018,16.5,0.9,-11.7,31.7
28,"no","no","yr2018",2018,12.5,4.4,-11.7,31.7
29,"no","no","yr2018",2018,10.2,0.1,-11.7,31.7
30,"yes","no","yr2018",2018,9.1,1.3,-11.7,31.7
31,"no","no","yr2018",2018,13.3,11.6,-11.7,31.7
32,"no","no","yr2018",2018,8.5,2.6,-11.7,31.7
33,"no","no","yr2018",2018,11.8,13.3,-11.7,31.7
34,"no","no","yr2018",2018,15.9,7.9,-11.7,31.7
35,"yes","no","yr2018",2018,13.4,0,-11.7,31.7
36,"no","no","yr2018",2018,8,1.5,-11.7,31.7
37,"yes","no","yr2018",2018,10,2.5,-11.7,31.7
38,"yes","no","yr2018",2018,6.4,0,-11.7,31.7
39,"yes","yes","yr2018",2018,10.8,0,-11.7,31.7
40,"no","no","yr2018",2018,6,1.6,-11.7,31.7
41,"no","no","yr2018",2018,14.2,8.6,-11.7,31.7
42,"no","no","yr2018",2018,4.5,0,-11.7,31.7
43,"no","no","yr2018",2018,6.7,2.5,-11.7,31.7
44,"yes","no","yr2018",2018,13.6,9.7,-11.7,31.7
45,"yes","no","yr2018",2018,6.2,2.9,-11.7,31.7
46,"yes","yes","yr2018",2018,6.8,0.9,-11.7,31.7
47,"no","no","yr2018",2018,20,0,-11.7,31.7
48,"no","no","yr2018",2018,4.5,1.9,-11.7,31.7
49,"yes","no","yr2018",2018,9.3,17.9,-11.7,31.7
50,"yes","no","yr2018",2018,20.1,3.8,-11.7,31.7
51,"no","no","yr2018",2018,13.2,7.6,-11.7,31.7
52,"yes","no","yr2018",2018,6.5,0.5,-11.7,31.7
53,"no","no","yr2018",2018,17.3,5.2,-11.7,31.7
54,"no","no","yr2018",2018,9.9,2.1,-11.7,31.7
55,"yes","no","yr2018",2018,0,0,-11.7,31.7
56,"yes","no","yr2018",2018,13.5,0.3,-11.7,31.7
57,"no","no","yr2018",2018,8.8,1.5,-11.7,31.7
58,"yes","yes","yr2018",2018,19.4,1.5,-11.7,31.7
59,"no","no","yr2018",2018,18.5,1.4,-11.7,31.7
60,"yes","no","yr2018",2018,9.4,2,-11.7,31.7
61,"no","no","yr2018",2018,10.7,0.9,-11.7,31.7
62,"yes","yes","yr2018",2018,18.7,0.8,-11.7,31.7
63,"no","no","yr2018",2018,22.3,2.8,-11.7,31.7
64,"no","no","yr2018",2018,6.1,0,-11.7,31.7
65,"yes","no","yr2018",2018,18.7,0.4,-11.7,31.7
66,"no","no","yr2018",2018,5.5,0,-11.7,31.7
67,"no","no","yr2018",2018,12.4,1.3,-11.7,31.7
68,"yes","yes","yr2018",2018,14.5,4,-11.7,31.7
69,"yes","yes","yr2018",2018,14,0,-11.7,31.7
70,"no","no","yr2018",2018,7.9,4.3,-11.7,31.7
71,"yes","no","yr2018",2018,9.4,3.6,-11.7,31.7
72,"no","no","yr2018",2018,14.4,9.4,-11.7,31.7
73,"no","no","yr2018",2018,22.8,0.1,-11.7,31.7
74,"no","no","yr2018",2018,6.9,0,-11.7,31.7
75,"yes","yes","yr2018",2018,14,6.9,-11.7,31.7
76,"yes","yes","yr2018",2018,16.2,3.1,-11.7,31.7
77,"no","no","yr2018",2018,10.4,3.1,-11.7,31.7
78,"no","no","yr2018",2018,29,1.9,-11.7,31.7
79,"yes","no","yr2018",2018,13.6,16.4,-11.7,31.7
80,"no","no","yr2018",2018,12.4,7.6,-11.7,31.7
81,"no","no","yr2018",2018,14.7,4.1,-11.7,31.7
82,"no","no","yr2018",2018,17.9,5.6,-11.7,31.7
83,"yes","yes","yr2018",2018,20.5,1.2,-11.7,31.7
84,"yes","yes","yr2018",2018,6.1,9.4,-11.7,31.7
85,"no","no","yr2018",2018,12.1,0.1,-11.7,31.7
86,"yes","yes","yr2018",2018,3.6,2.7,-11.7,31.7
87,"no","no","yr2018",2018,13.5,1.4,-11.7,31.7
88,"yes","no","yr2018",2018,16.4,6.3,-11.7,31.7
89,"no","no","yr2018",2018,14.6,3.6,-11.7,31.7
90,"no","no","yr2018",2018,4.5,0,-11.7,31.7
91,"yes","yes","yr2018",2018,15.2,6.9,-11.7,31.7
92,"yes","no","yr2018",2018,19.3,7.1,-11.7,31.7
93,"yes","yes","yr2018",2018,11.3,5.5,-11.7,31.7
94,"yes","yes","yr2018",2018,11.6,5.9,-11.7,31.7
95,"yes","yes","yr2018",2018,13.7,8.4,-11.7,31.7
96,"no","no","yr2018",2018,13.1,11.1,-11.7,31.7
97,"yes","no","yr2018",2018,14.1,12.4,-11.7,31.7
98,"yes","yes","yr2018",2018,16.6,0,-11.7,31.7
99,"no","no","yr2018",2018,21.4,0.4,-11.7,31.7
100,"yes","yes","yr2018",2018,15.5,3,-11.7,31.7
